구분,개별단독,개별아파트(개인),개별아파트(상업),상업개인,상업법인,공공기관,학교,아파트(단지) 가입자수,아파트(단지) 세대수,학교(단지),건물(단지),합계 (가입자수),합계 (세대수)
전북 군산시,3173,13723,0,436,8,5,10,13,8997,0,0,17368,26352
전북 김제시,10409,2261,0,291,1,67,3,8,3924,0,9,13049,16965
전북 남원시,11670,4913,0,641,4,33,3,10,5639,0,0,17274,22903
전북 무주군,3964,274,0,9,0,10,4,1,303,0,0,4262,4564
전북 부안군,3978,976,0,34,2,8,7,8,3210,0,0,5013,8215
전북 순창군,3699,411,0,39,4,3,5,1,494,0,0,4162,4655
전북 완주군,6453,3971,0,131,0,37,41,5,2983,4,0,10642,13620
전북 익산시,11508,10026,1,495,9,81,27,87,45829,0,2,22236,67978
전북 임실군,4566,379,0,45,1,298,14,2,422,0,0,5305,5725
전북 장수군,4756,314,0,58,0,10,1,2,467,0,0,5141,5606
전북 전주시,7507,33163,10,252,15,27,21,39,26154,2,1,41037,67152
전북 정읍시,13320,8303,0,309,11,25,29,6,3013,0,0,22003,25010
전북 진안군,4153,256,0,65,3,20,13,1,200,1,0,4512,4711
제주 서귀포시,26913,4765,0,11,4,2,1,15,4716,0,0,31711,36412
제주 제주시,51501,16505,1,120,9,90,1,41,13023,0,1,68269,81251
충남 계룡시,90,1559,0,2,1,1,1,1,918,0,0,1655,2572
충남 공주시,4430,2367,0,32,1,3,8,19,9809,0,0,6860,16650
충남 금산군,3315,235,0,1,3,5,0,5,2237,0,0,3564,5796
충남 논산시,1531,482,0,201,0,4,11,29,11807,0,0,2258,14036
충남 당진시,1659,2112,0,6,4,6,4,10,5440,0,0,3801,9231
충남 보령시,4974,2794,0,19,1,60,9,21,8608,0,0,7878,16465
충남 부여군,3089,388,0,4,1,0,2,1,390,0,0,3485,3874
충남 서산시,1246,1790,0,6,1,3,6,28,19195,0,1,3081,22248
충남 서천군,3543,564,0,6,1,5,3,7,1873,0,0,4129,5995
충남 아산시,644,5304,0,18,6,9,26,47,35403,6,1,6061,41417
충남 예산군,5413,711,1,4,1,1,4,2,402,0,0,6137,6537
충남 천안시,1772,20854,0,9,6,12,14,56,37594,0,0,22723,60261
충남 청양군,3309,383,0,1,1,1,2,1,305,0,0,3698,4002
충남 태안군,490,179,0,1,0,2,7,6,2285,0,0,685,2964
충남 홍성군,1177,875,0,3,1,5,14,6,3166,0,1,2082,5242
충북 괴산군,2707,124,0,2,0,3,2,1,310,0,0,2839,3148
충북 단양군,1305,613,0,5,1,1,0,0,0,0,0,1925,1925
충북 보은군,1850,153,0,2,1,1,6,0,0,0,0,2013,2013
충북 영동군,1029,272,0,4,1,7,2,3,878,0,0,1318,2193
충북 옥천군,1060,569,0,19,0,10,1,0,0,0,0,1659,1659
충북 음성군,3140,1532,0,2,0,2,3,11,5872,0,0,4690,10551
충북 제천시,1998,3398,0,18,2,8,4,12,7433,0,2,5442,12863
충북 증평군,3089,1279,0,134,0,9,2,20,8372,0,0,4533,12885
충북 진천군,2360,1509,0,8,2,7,4,7,2315,0,0,3897,6205
충북 청주시,4167,9593,0,42,14,9,22,76,54154,0,1,13924,68002
충북 충주시,1280,3349,0,12,1,1,11,11,6236,2,2,4669,10894
